[1], 	train loss: 0.010708	acc: 0.55484
[1], 	val loss: 0.010565	acc: 0.6402
[2], 	train loss: 0.0099931	acc: 0.6376
[2], 	val loss: 0.010834	acc: 0.61655
[3], 	train loss: 0.0097125	acc: 0.6594
[3], 	val loss: 0.010717	acc: 0.64696
[4], 	train loss: 0.0093791	acc: 0.67762
[4], 	val loss: 0.01004	acc: 0.66554
[5], 	train loss: 0.0093337	acc: 0.68171
[5], 	val loss: 0.010391	acc: 0.64527
[6], 	train loss: 0.0094015	acc: 0.6766
[6], 	val loss: 0.0095279	acc: 0.69426
[7], 	train loss: 0.0093119	acc: 0.68035
[7], 	val loss: 0.0096219	acc: 0.70101
[8], 	train loss: 0.009124	acc: 0.69261
[8], 	val loss: 0.0096268	acc: 0.67736
[9], 	train loss: 0.0091319	acc: 0.68954
[9], 	val loss: 0.0099158	acc: 0.66554
[10], 	train loss: 0.0091404	acc: 0.68375
[10], 	val loss: 0.0096433	acc: 0.69088
[11], 	train loss: 0.0089958	acc: 0.69755
[11], 	val loss: 0.0095909	acc: 0.69257
[12], 	train loss: 0.0089903	acc: 0.69619
[12], 	val loss: 0.0095604	acc: 0.70946
[13], 	train loss: 0.009049	acc: 0.69125
[13], 	val loss: 0.0091782	acc: 0.69088
[14], 	train loss: 0.0089962	acc: 0.69789
[14], 	val loss: 0.0090924	acc: 0.72635
[15], 	train loss: 0.008895	acc: 0.69619
[15], 	val loss: 0.0089426	acc: 0.72973
[16], 	train loss: 0.0088469	acc: 0.70283
[16], 	val loss: 0.0096253	acc: 0.69932
[17], 	train loss: 0.0088091	acc: 0.70691
[17], 	val loss: 0.0091347	acc: 0.7348
[18], 	train loss: 0.0087625	acc: 0.71185
[18], 	val loss: 0.0094826	acc: 0.69932
[19], 	train loss: 0.0087905	acc: 0.70964
[19], 	val loss: 0.0092928	acc: 0.71453
[20], 	train loss: 0.0086915	acc: 0.71458
[20], 	val loss: 0.0091391	acc: 0.71791
[21], 	train loss: 0.0086011	acc: 0.72037
[21], 	val loss: 0.0096859	acc: 0.68581
[22], 	train loss: 0.008641	acc: 0.71185
[22], 	val loss: 0.0086455	acc: 0.73986
[23], 	train loss: 0.0086632	acc: 0.70845
[23], 	val loss: 0.009889	acc: 0.68074
[24], 	train loss: 0.008652	acc: 0.71577
[24], 	val loss: 0.0093491	acc: 0.72804
[25], 	train loss: 0.0085516	acc: 0.7156
[25], 	val loss: 0.0089743	acc: 0.73311
[26], 	train loss: 0.0086781	acc: 0.71849
[26], 	val loss: 0.010056	acc: 0.69932
[27], 	train loss: 0.0086292	acc: 0.71117
[27], 	val loss: 0.0086885	acc: 0.74831
[28], 	train loss: 0.0086391	acc: 0.70777
[28], 	val loss: 0.0089857	acc: 0.73986
[29], 	train loss: 0.0085168	acc: 0.72224
[29], 	val loss: 0.0084118	acc: 0.74831
[30], 	train loss: 0.0086427	acc: 0.71696
[30], 	val loss: 0.0091295	acc: 0.71959
[31], 	train loss: 0.0084614	acc: 0.7202
[31], 	val loss: 0.0090218	acc: 0.69088
[32], 	train loss: 0.0084249	acc: 0.7248
[32], 	val loss: 0.0092847	acc: 0.72635
[33], 	train loss: 0.0084295	acc: 0.7219
[33], 	val loss: 0.0097444	acc: 0.69764
[34], 	train loss: 0.0084789	acc: 0.72428
[34], 	val loss: 0.0086107	acc: 0.73142
[35], 	train loss: 0.0083629	acc: 0.72769
[35], 	val loss: 0.009033	acc: 0.70946
[36], 	train loss: 0.0081018	acc: 0.74404
[36], 	val loss: 0.0086963	acc: 0.73649
[37], 	train loss: 0.0081711	acc: 0.7345
[37], 	val loss: 0.0089002	acc: 0.71622
[38], 	train loss: 0.0082284	acc: 0.73263
[38], 	val loss: 0.0087205	acc: 0.73818
[39], 	train loss: 0.0083103	acc: 0.73621
[39], 	val loss: 0.0089244	acc: 0.74324
[40], 	train loss: 0.0083445	acc: 0.72922
[40], 	val loss: 0.0089397	acc: 0.7348
[41], 	train loss: 0.0080645	acc: 0.7437
[41], 	val loss: 0.0091175	acc: 0.69932
[42], 	train loss: 0.0080205	acc: 0.7437
[42], 	val loss: 0.0092952	acc: 0.69257
[43], 	train loss: 0.0082136	acc: 0.73876
[43], 	val loss: 0.0087816	acc: 0.74155
[44], 	train loss: 0.0079961	acc: 0.74353
[44], 	val loss: 0.0094322	acc: 0.70439
[45], 	train loss: 0.0080291	acc: 0.74302
[45], 	val loss: 0.0086634	acc: 0.74155
[46], 	train loss: 0.0080092	acc: 0.74728
[46], 	val loss: 0.008989	acc: 0.73311
[47], 	train loss: 0.0080023	acc: 0.73723
[47], 	val loss: 0.0087462	acc: 0.73649
[48], 	train loss: 0.0080378	acc: 0.74472
[48], 	val loss: 0.0086179	acc: 0.73986
[49], 	train loss: 0.0081636	acc: 0.73842
[49], 	val loss: 0.0091732	acc: 0.69932
[50], 	train loss: 0.0078692	acc: 0.74659
[50], 	val loss: 0.0090871	acc: 0.71791
[51], 	train loss: 0.0079292	acc: 0.7454
[51], 	val loss: 0.0091162	acc: 0.72128
[52], 	train loss: 0.0079683	acc: 0.74728
[52], 	val loss: 0.0087125	acc: 0.74831
[53], 	train loss: 0.0078664	acc: 0.74506
[53], 	val loss: 0.0095625	acc: 0.70608
[54], 	train loss: 0.008021	acc: 0.74779
[54], 	val loss: 0.0093734	acc: 0.72973
[55], 	train loss: 0.0080499	acc: 0.74642
[55], 	val loss: 0.0087124	acc: 0.73311
[56], 	train loss: 0.0078547	acc: 0.74455
[56], 	val loss: 0.0088278	acc: 0.75
[57], 	train loss: 0.0078807	acc: 0.74506
[57], 	val loss: 0.0088628	acc: 0.74493
